id,profileName,text,date,title,rating,images,helpful
R1RT9YZEJLNHHI,Onomatopoeia,"
  I found this set when it was on a super deal for $20! Yay, me! Which makes me feel better since we discovered ( a year after purchasing), that the Deathly Hallows book is missing 2 1/2 chapters! It repeats 2 chapters, as well. I??m glad this isn??t he first time through these stories, or we??d be foaming at the mouth trying to figure out what happened! And I??m consoled by the $20 price I paid on sale. I see from other reviews that Scholastic must not care about accuracy and has trouble printing and binding all correct pages together in this set, so buyer beware. Be prepared to head to the library to get another copy of the book when yours is seriously messed up.
","Reviewed in the United States on December 28, 2018","Great deal on sale, bad deal on missing pages",3,,24
RY9GIR9VZUD6Z,BodhiGurl,"
  Just received my package - the book set was shrink wrapped, along with a layer of bubble wrap around it - thus, it arrived in great condition! Mint? No - but ultimately I purchased it to have the UK versions of the books, as I already own the US set of books. I'm so happy to have it as part of my collection. Upon initial viewing of the books - the covers are beautiful! Love the illustrations. Can't wait to dig in and read the series as it was originally written, seeing as I thoroughly enjoyed reading the US versions :)  The box they come in is in good condition, as I mentioned, it is not mint, but it's good (small dented corner - nothing terrible). The books are tight inside the box, but I found it relatively easy to get one out - thus freeing up the rest, and the books also went back in together, albeit returning it to the snug box slowly is probably advised to avoid damaging covers etc. Shipping itself was on time, it arrived as expected. Overall I'm very happy with my purchase.
","Reviewed in the United States on December 28, 2019",Beautiful set!,5,https://images-na.ssl-images-amazon.com/images/I/71lYd0oX-ZL.jpg,12
R1D8MQA4OOZNPD,Alexander,"
  Unfortunatly there were no illustrations throughout the pages of these books. Either send the correct items or change the descriptions and review the customer photos.
","Reviewed in the United States on December 28, 2018",Something is Wrong,1,,20
R3D7NLVFILBTZ1,Candi,"
  This is a sure fire, jump-up-and-down, and wiggle-in-excitement Christmas gift for the niece. She??s been asking for this set since she was 3! I??ve always been amazed that she knew about Harry Potter from so young. My deal was that she??d get the set once she was a little older and a great reader. She started reading early - later that same year actually - and she is now a full grade ahead of her class in reading. I??m going to credit some of her accomplishment to her sincere desire to join Hogwarts.I already own this exact set and cannot wait to share in the excitement with her. There??s no need to attest to the greatness of this story; you??d have to live under a rock to not know about the acclaim of the Harry Potter series. Instead, I will say that the set arrived in great condition. The box is sturdy and keeps all of the books organized.I??m patiently waiting for the call on Christmas Day when, again, I??ll be the best aunty ever. Haha!Update: As expected, my phone rang Christmas afternoon to screams that she got the HP set. Sorry Santa, but she instantly knew that only an aunty could think of such a great gift as this. She now insists on reading a chapter with her mom each night before bed.
","Reviewed in the United States on December 13, 2018",Great Gift and Sturdy Set for Young Reader,5,,13
R3J1WEYDBJV87U,Athena Sphon,"
  So I don't know where people were having problems before but I went threw page by page and found no issues. My nephew is going to love these
","Reviewed in the United States on December 5, 2020",Improvements made after bad reviews were posted,5,"https://images-na.ssl-images-amazon.com/images/I/91vERL-p2NL.jpg
https://images-na.ssl-images-amazon.com/images/I/A1FHVz9KnmL.jpg",10
R2URN2WBMXU2QV,Ian D,"
  I bought the boxed set for my daughter for Christmas. We have just started reading them. We are on book 1 and every few pages it appears the ink was nearly out during printing. It has been challenging to read. I haven't had the chance to inspect the rest of the set yet, but if you order double check them as soon as they arrive so you can make sure the pages are all well printed.
","Reviewed in the United States on August 12, 2019",Disappointed after we started reading,1,https://images-na.ssl-images-amazon.com/images/I/71ixuTabSSL.jpg,13
R24M3EDDCO6VAJ,CaraLA,"
  I read these one by one as they were released and loved every minute spent devouring every word. I was an adult with grown children during that first read. Now, as an old lady, a really old lady!, I bought the series for my Kindle and have spent the past several weeks binge reading these amazing stories again. They??re better the second time around. I found so many things I had missed. The stories were much richer and very much more meaningful during this marathon immersion. And don??t let anyone dismiss them as ??just children??s stories??. There??s nothing wrong with a good children??s story but the Harry Potter books are so much more. Amazing tales told by a master craftsman at the top of her game. The level of imagination it took to breathe so much life into these magical characters and the events surrounding them just leaves me awestruck. If this review makes you pick them up for the first time, I??m green with envy at what you??re going to experience. And if, like me, you??re going at them for the second, or more, times, just burrow in and ENJOY!
","Reviewed in the United States on April 5, 2019",A thumping good read!!!,5,,1
R1F93942S740NV,Trav&Beck,"
  The books are beautiful: the paper quality is great and the ink is fantastic to read.One unfortunate thing: the shipping box the set arrived in was partly opened, and the box that the books are contained in has a beautiful design, but one side of it was ripped and partly torn off.
","Reviewed in the United States on July 11, 2019",Great book quality; bad shipping experience,4,"https://images-na.ssl-images-amazon.com/images/I/71T64Z-W+jL.jpg
https://images-na.ssl-images-amazon.com/images/I/71Xuv-bHfGL.jpg
https://images-na.ssl-images-amazon.com/images/I/71rYrTFFLnL.jpg",12
RAP4WONIV5SE,Sarika,"
  Some of the books are dented on the top portion. Also the box to hold the books came with a big tear in it, which is really disappointing because these were a gift and I made sure to buy new so there wouldn't be any damage.
","Reviewed in the United States on February 24, 2019",Damaged goods,2,https://images-na.ssl-images-amazon.com/images/I/71Cgto4pPqL.jpg,12
ROZK0P3YDH4P4,It'sNadia,"
  Over the years I have let muggles borrow my copies of the harry potter series, and I felt it was finally time to get a new complete set...as my old copies had fallen apart. Unable to preform The Mending Charm Reparo, it was time to buy a new set. After reading mixed reviews, (mainly for the paperback version) I went ahead and purchased this hardback set. The Red Box is bold, sturdy and the gold detailing is so aesthetically pleasing. I actually use it as decor in my bedroom, all the books are stored so nicely inside. Some reviews mentioned that there were duplicates or books missing, and that was NOT the case for this set. I got every book. Be sure to check yours!Hardback Red Box Collection Pros:-Sturdy Red Box stores books-Red Box closes magnetically-Books Are Perfect quality-Page quality is great-Words perfectly written (no printing issues)-Great size Book (roughly 5"" x 8"")-Beautiful Detailing on Dust Jackets-Underneath Dust Jackets- Book title written on spine, bold overall color with golden starsCons:-No images (i didn't want images anyway but just in case someone was wondering)-No formal invitation to Hogwarts included (It's not suppose to have this, i've just been waiting for years and was hoping it was finally time to receive mine)-Unable to put books down to stop reading. No chance to be productive in anyway, as you will continue to read for hours, days even. (This isn't really the books fault)Overall: The Hardback set is PERFECTION. Grab some money at Gringotts Wizarding Bank or wherever, and purchase this set ASAP.**Side Note: Bookmark is from Amazon in a 3 pcs order of the phoenix set in case you are wondering!**
","Reviewed in the United States on December 7, 2020",Hardback Harry Potter Complete Collection set is INCREDIBLE,5,"https://images-na.ssl-images-amazon.com/images/I/81KDDMYuSwL.jpg
https://images-na.ssl-images-amazon.com/images/I/81d2l8Qz6DL.jpg
https://images-na.ssl-images-amazon.com/images/I/81sWG10A+CL.jpg
https://images-na.ssl-images-amazon.com/images/I/91Gys3qC6JL.jpg
https://images-na.ssl-images-amazon.com/images/I/91Rh0+Iv6TL.jpg
https://images-na.ssl-images-amazon.com/images/I/91q-oDI8VwL.jpg
https://images-na.ssl-images-amazon.com/images/I/91zhyCnnImL.jpg",1
R254MDY2GJ1HRI,kbtustin,"
  Unlike most my age, I did not read Harry Potter for the first time until recently and when I did I did so on my kindle unlimited subscription. I fell in love with the series and knew I needed to purchase a book set. I looked around on amazon trying to find something unique and thankfully I stumbled onto this set. I LOVE it! It is stunning. The books and case are well worth the price. It did take awhile to get to me, but that was expected since it was coming from UK. Came in perfect condition. Definitely worth the price!! Highly recommend
","Reviewed in the United States on October 9, 2019",Gorgeous Set!! Perfect for Avid Harry Potter Fan,5,,1
R16YSZ88RRFV8O,Amazon Customer,"
  I love this version!  Since I spent time as a kid in the UK I enjoy the vocabulary.  Same story, some different phrases and words.  Lots of fun.  The books and box is of good quality.
","Reviewed in the United States on October 28, 2019",UK Version Fun!,5,,1
R3L4GB5QJ322Q3,Keith,"
  Love it. Package was wrapped tightly in bubble wrap and placed in a box so no damage during shipment. The lettering on the cover is debossed which is a nice. Books seems well put together. Quarter in the pictures for scale if you're trying to get a good idea of size.
","Reviewed in the United States on February 22, 2020",Great Set,5,"https://images-na.ssl-images-amazon.com/images/I/71eZhY19ZXL.jpg
https://images-na.ssl-images-amazon.com/images/I/81EDEZueKHL.jpg
https://images-na.ssl-images-amazon.com/images/I/81slgYjCn5L.jpg",10
R30V7ZKFWN12YE,Variety IS the Spice of Life,"
  This is a great set if you can find it. I bought it twice over a long time: once for myself and it was a very large paperback book and once when it was a small paperback... the small paperback write up was exact, as was the cover photo... but no mention was made of the rather big change in size... which also means change in type size. You may want to make sure of what you're getting up front. In any case, HP books are getting quite hard to find, sets even harder, and it seems no immediate (paperback) reissue is upcoming.. I've tried to check to get holiday presents and all I can find are very expensive fancy hardcovers for high (nosebleed high) price or  covers only, no books, to protect sets you may own. But that's how it works when very popular books sell out but are not sure-sellers enough to start a new run. It would never be a mistake to take a chance on a Harry Potter set and the hard cardboard case, if used, will keep the paperbacks protected, when kept away from damp or too much heat and free of dust. It may interest one to know these books are becoming so hard to find that sales are being made just on offering various COVERS for the original hardbacks.
","Reviewed in the United States on December 14, 2017",Getting Hard to Find HP Sets,5,,1
R17Z6YCWP2ZU5S,Hudson,"
  Cheap construction. I take very good care of my books, and they are falling apart with gentle use. The binding burst on the 6th book and all of the pages are falling out. The crazier part is that they glued in 1/2 of a page in book 7 where one of the pages was torn. (In pictures)
","Reviewed in the United States on July 6, 2019",They tried to glue in 1/2 of a torn page...,1,"https://images-na.ssl-images-amazon.com/images/I/71TL96GwLCL.jpg
https://images-na.ssl-images-amazon.com/images/I/71fW4XzI5WL.jpg
https://images-na.ssl-images-amazon.com/images/I/71ws1jgcaCL.jpg",12
R3VTF1JOMV31J9,Tricia Abouabdo,"
  The books are great! I love the design, but somehow they messed up the packaging, and I ended up with two of the fourth book, and the sixth book is missing!
","Reviewed in the United States on May 10, 2018",The books are great! I love the design,2,https://images-na.ssl-images-amazon.com/images/I/71Cf7To7j2L.jpg,16
R2PF16JQ2YVWI8,Amazon buyer,"
  While we LOVE Harry Potter, the fifth book was printed and assembled incorrectly, so we are MISSING multiple chapters and several are upside down, all in book 5. The rest of the books are perfect. But it??s frustrating to purchase a set and then have to repurchase the kindle version when the kids got into book 5. Of course we didn??t know within the 30 day return window because, well, you have to read all 5 books to figure that out! But I do want a new book 5 so the set is complete. A little frustrating, but, of course, the best series of all time, so...
","Reviewed in the United States on September 5, 2020",Book 5 incomplete! Missing chapters and assembled wrong!,2,,1
R27XATHHMWQDIE,M. Hayden,"
  The ubiquity of Harry Potter (movies and books alike) stretches across the globe. When my girlfriend was looking for an accessible fantasy series to get into, this immediately came to mind. We both had seen all of the movies multiple times, but had never really touched the books beyond the first two in the series. I therefore purchased this box set for my girlfriend and she has since read all of them (it took her just about two weeks in total!) The storytelling, world, and characters were as compelling, vivid, and resonant with her as the rest of the countless fans around the world. These books are awesome page-turners and are accessible to a wide range of age-levels. Anybody looking for a way to get into quality fantasy or to just get lost in a magical and engaging world should look no further and purchase this box set!
","Reviewed in the United States on August 9, 2018",Ubiquity well-deserved,5,,1
RDX24IQK9TPAU,A. Galaviz,"
  If your buying these set of books to read because your interested in the world of Harry Potter, I??m sure like many of us would become fans after finishing the series. The way J.K. Rolling writes the characters and the wizarding world, will help you connect fast with this world. Ive has an incredible experience, I??m very happy of not only buying this book but of having read them.I??ve read reviews about piso le complain about the bad printing on these books but for me, after having read all book I can honestly say that only a few pages, like 10 out of the 4,224 and one page out of all them had a drop of in that cover a tree letter word, but I??m very pressed with the quality in general. No problems there.
","Reviewed in the United States on June 17, 2020",It??s hard not to become a Harry Potter fan after reading the books.,5,"https://images-na.ssl-images-amazon.com/images/I/717R7hu501L.jpg
https://images-na.ssl-images-amazon.com/images/I/71FoAojV7ML.jpg
https://images-na.ssl-images-amazon.com/images/I/71S8UXZCzxL.jpg
https://images-na.ssl-images-amazon.com/images/I/71ZIdiABsZL.jpg",1
R37LKESS66C0E,Richard W Buksa,"
  Books arrived well packed and in excellent condition. I have not noticed any missing pages (yet, I've only just started the third book: Order of the Pheonix.) The covers are colorful and relevant to each story, possibly too relevant as they could be considered spoilers on some level. They do fit VERY thightly in the box. I'm not sure I would take the box traveling with me because I'd rather not risk damaging the artwork on the outside of it, A sweeping vista of Hogwarts and its surroundings.
","Reviewed in the United States on March 1, 2020",British version rocks!,5,,1
R3KLFKGPRQYJGQ,Forrest Stewart,"
  I read all 7 books more than 10 years ago. I can't believe how much I had forgotten! It's as though just a few highlights remained, just enough to pique my interest once again.I rated this collection with 5 ???? s because it will hold you spellbound from beginning to end. You will laugh, cry, sit on the edge of your seat, but alas, you must put it down for the day in order to get some sleep!I don't believe in witches, wizards, ghosts, goblins, elves or even hippogriffs. I don't think these books should be intended for young impressionable children. It could potentially induce nightmares!Overall, an excellent read. It can be instrumental in educating humanity against the ills of bullying and making fun of those who are different from you. We all have worth, and we all are worthwhile.God bless.
","Reviewed in the United States on February 18, 2018",The Boy That Lives,5,,1
R3MWG885U2Y5XS,gregg g,"
  After rereading the series, I am struck by how incredibly detailed was the world Rowling created. You can immerse yourself in another world almost as real as our own. Her characterizations are equally rich. The series deserves every accolade it has received. The timeless themes flow through a mythology that resonate with todays times as well as other crisis periods in history. Children can enjoy the first books if they are school age. As the series progresses, the action becomes darker and the themes of evil versus good become more adult. The first time I read it with my daughter, the delay in waiting for each book to come out allowed her to age into the later books. Parents should know that the younger children will have more difficulty with books 3-6. A parents support, explanations, and reassurance are necessary if the child is too young to read the books for themselves.
","Reviewed in the United States on July 29, 2020",As good as I remember it,5,,1
RGWO1UCQVFX3E,Elizabeth,"
  Misprint on book five, very disappointed. I was excited to have my very own set after borrowing my friends books.
","Reviewed in the United States on August 13, 2019",Very disappointed,1,"https://images-na.ssl-images-amazon.com/images/I/71TmQ1uAOsL.jpg
https://images-na.ssl-images-amazon.com/images/I/71Uo7Wzg83L.jpg
https://images-na.ssl-images-amazon.com/images/I/71XG5yS2mYL.jpg
https://images-na.ssl-images-amazon.com/images/I/71ZRGVeV41L.jpg
https://images-na.ssl-images-amazon.com/images/I/71kH4UEc37L.jpg
https://images-na.ssl-images-amazon.com/images/I/81DcUZL9huL.jpg",1
R1936C78WY5TL2,Couch Chroniclers,"
  My review is only concerning the construction of these books physically.I don't know about other people, but I actually got these books to read them, and I've discovered while reading them that the paper strip that's supposed to keep the glued pages from kinking and splitting isn't even glued to those pages. I've had to repair two of them so far, and that's tricky work.It doesn't even look like they're failing from use or heat - it looks like they're just straight up not glued in the factory.Text is awesome, font is perfect, stories are great, etc. It's HP. Everyone knows. Fantastic series. Crappy physical binding.
","Reviewed in the United States on June 8, 2020",Gluing job terribly done.,2,,1
R3I2Y25TZE757J,Alanna,"
  What can I say about JK Rowling's runaway best-selling series that hasn't already been said? This captivating septology had me hooked from beginning to end. The story is familiar to many. A bespectacled orphan boy, Harry Potter, goes to a school for wizards to learn magic and faces off against the evil Lord Voldemort (or He-Who-Must-Not-Be-Named). Prior to his acceptance to Hogwarts, Harry has been an outcast all his life, forced to live in a broom cupboard by his cruel aunt and uncle and constantly tortured by his cousin, Dudley. His whole life changes when he receives his acceptance letter and learns that he is actually a wizard, and he also learns that he is famous in the wizarding community for the downfall of Voldemort.At his new school, he meets his best friends, Ron and Hermione. Over the course of the seven books, the three of them go on many adventures together, mature from children to young adults, and face off against Voldemort.The series is great for escapism, with its vivid imagery, rich world-building, and  thrilling plot twists. I loved reading about all the different creatures and how magic works in this world. The books will keep you turning page after page as Harry faces off against seemingly impossible odds. Someone may say that Harry relies too much on luck to get him out of scrapes, but keep in mind that although he inadvertently defeated Voldemort once, he is still a teenage boy. In a straight up magical battle against Voldemort, wand to wand, Harry simply doesn't have the experience to come out on top.Get this phenomenal series today and enjoy this spellbinding world of witches and wizards. I have the whole series on my Kindle, and it was worth every penny! I highly recommend these books for readers of all ages.
","Reviewed in the United States on September 14, 2018",Wonderful series for the whole family,5,,1
R2FAPGC13AGRID,Aily,"
  Absolutely beautiful, I??m so happy with my books! I was skeptical since many reviews mentioned missing pages and misprinted pages. Nothing wrong at all with my order...all was well (;
","Reviewed in the United States on May 15, 2020",All was well,5,,1
RQAL1WMSO7PJD,Brooks1024,"
  I didn't see anywhere in the description that this was the UK version. This was a gift for my son and he is the one that pointed out the difference in the title of the first book, The Philosophers Stone vs the The Sorcerers Stone. He did double check and said that the story seemed to be the same so that worked out but that needs to be included in the description. Also the box for the books was completely broken apart but once again my son said he could glue the edges back together and it would be fine. He ultimately seems fine with the gift but I am very disappointed with the surprise about what version they were and the damaged box.
","Reviewed in the United States on March 11, 2020",The description didn't say this was the UK version,2,,1
R12T2NBVCDIBJQ,Enso,"
  I have an adult reading age. So watching the childrens movies I wasn't tempted to read the books. But in the end, having bought them, I can tell that there is a great deal that is in the books, that has been removed in the movies - various parts of the story make much more sense, where 2 related events are in the book, but the first event was removed from the movie and I went ""Huh?"" until I read the books (finished last night). it also showed how  director can change the character, by the way he shoots them.
","Reviewed in the United States on April 2, 2020",Filling in the blanks.,4,,1
RI5VOCZFI0EMR,Jr.,"
  This was a gift to my 10 year old son who loves the entire Harry Potter series. There's really no point on reviewing the story since this is perhaps one of the most popular and household name movie series throughout the world/planet. This review is mostly for the manufacturing quality of the books themselves.The set comes in a hard box with excellent and accurate Harry Potter characters and theme. The printing is high quality with crisp colors. This paperback set does NOT look like cheap imitation that you typically find on the side streets of Asia. This is an excellent high-quality gift set that will last for a very long time and definitely cherished by all Harry Potter fans everywhere.
","Reviewed in the United States on May 9, 2021",Excellent Harry Potter Paperback Set,5,,0
R2A8UN1L02SPA5,Dave ,"
  The Harry Potter series is never disappointing. This is my third trip through the books and I??ve enjoyed them more each time. There are so many new things that I noticed with each reading. I would like to have had a few more details about the different kinds of magic like the difference between jinxes and hexes and so on. Overall the books are fun. Best when read as a youth because your imagination hasn??t been destroyed by reality yet.
","Reviewed in the United States on September 8, 2018",A modern classic,4,,1
R6BZY3C67R7LU,Kelly L,"
  This is an excellent set books .I bought this set for my kid as  christmas gift, and now his being a Harry Potter fan. He thought the film was great, but the book was plain awesome, it had so much more depth and content that just wasn't in the film.
","Reviewed in the United States on January 6, 2021",Perfect for gift,5,,1
R34EVD0FQ1TCYZ,Tweedy old barf mat,"
  I started reading the Harry Potter books along with everyone else who was lucky enough to hear about them when they first hit the book stores in the UK.The first in the series was certainly enjoyable, even though it was most likely intended to be targeted for younger readers than I was.Having said that, I was immediately transported to the wizarding world which JK Rowling described so well and in such a way as to be entirely believable.The subsequent books in the series were definitely more targeted to a wider audience age wise, and included concepts that are more often encountered by adults than pre teens or even teenage readers.Though the final three books contained quite dark subject matter, Rowling delivers the concepts and story line with imagery that enables the reader to see the light that often follows the darkest of times, and allows readers to recover hope right along with her characters.I have reread all the books in the series more than once and for me, the desire to reread a book is the indication that the author has succeeded in delivering a truly excellent tale.If you have not read the Harry Potter books, I really suggest taking the time to do so.
","Reviewed in the United States on January 19, 2020",Remarkable imagery and characters.,5,,1
R2HVPSQ3UNDGAJ,That Girl,"
  I??ve never been a huge fan of audio books. They tend to put me to sleep. But Harry Potter is a huge love in our family, and I wanted something to listen to in the car that wasn??t Gospel (I??m not Christian), country, or pop. With an hour commute every morning, and another at night, the series makes it easy to plug in on the drive.Jim Dale??s narration is fun and captivating. My 5yo begs to listen to them over and over again (I think we??ve listened through all 7 about 8 times!). Jim makes up different voices for each character, immersing you in the emotions of the story.Our family loves them so much, I bought a second set for my boyfriend, who drives long haul!
","Reviewed in the United States on May 11, 2019",Jim Dale is captivating,5,,0
R15PJ3G4F32PSB,Julanna Ritschel,"
  Well, so far my son and I love the Harry Potter stories, but I??m giving it only 4 stars because of some of the pages having the ink smeared in them. You can see it in the photo I??ve attached.
","Reviewed in the United States on October 5, 2018",Are all Harry Potter books smudged???,4,https://images-na.ssl-images-amazon.com/images/I/71ThyPKqMvL.jpg,1
R3U6WBG5KKQFQE,Jason Stoodley,"
  Outside:  Attractive covers, more colorful, more exciting, more juvenile, less elegant than those of the Signature edition.  Artwork is clearly inspired directly from the books though with a few concessions to the movies.  The cover to book one is particularly interesting in that Ron and Hermione's faces aren't clearly seen and the way they are drawn they could easily be Rupert Grint and Emma Watson, though on the back of another volume you see the characters clearly, and they are based simply on the books (a tall and lanky Ron, for instance).  My only real criticism is that in a few of the pictures Harry looks more like a girl than a boy, in my opinion.The paper covers themselves have an interesting texture that I haven't encountered before, sort of velvety.  When I first touched them I thought my fingers were leaving unsightly fingerprints/smudges on the strange material, but this was actually just the moisture from my hands which quickly evaporated.  Like most boxed sets the books are pressed tightly together, hard to get them in and out when they are all in there, but not as bad as a Hobbit and Lord of the Rings boxed set I own.Inside:  Font is about the same size as the Signature addition, slightly larger than the Scholastic edition most Americans are familiar with.  Like the Scholastic edition the lines are spaced more widely apart, making for more comfortable reading but larger books than the Signature.  The font itself is an unusual one, but quite attractive and easy on the eyes with the exception of some of the punctuation.  Most punctuation marks are strangely diminutive in size and shape.  This works fine for colons and semicolons, but the quotation marks look severe, the tiny exclamation marks look odd, and the weird little question marks are almost unrecognizable.  The Signature edition by contrast uses a very standard font.There are no illustrations at the chapter headings other than some little stars, but the letters, signs, and such that Harry comes across are rendered like illustrations.  They aren't the same as the Scholastic ones but it's the same idea, better than the Signature edition that just provided them in italics, without even signatures reproduced on the letters.  An interesting new element is a map of the Hogwarts grounds and immediate surroundings at the front of each volume.  This is entirely unnecessary and could be interpreted as spoilers for people just starting the series, but I think it's pretty cool anyway, giving the books themselves a more classic fantasy feel.  On the other hand the back of each book is packed with lame ads for related products, webpages, etc.  You won't find that junk, and just a minimal amount of those ubiquitous ""praise"" lines for the books/author, in the Signature edition.Language:  The differences between the British and American versions go beyond spelling and punctuation conventions or even sweater vs. jumper sorts of dialect.  For example a fair amount of food/candy has been changed in the American version to make things more familiar for American kids.  And of course there is the infamous changing of the Philosopher's Stone (a real piece of folklore) to the ""Sorcerer's Stone.""For an adult reader all this Americanization and dumbing down in the Scholastic version is inane and distracting, and even more so considering the inconsistency of these changes across the series.  I for one would much rather read the book as the author herself wrote it, even if it means looking up a word now and then.  Granted, there are a few things that might seem a bit irritating to an American, like no periods after ""Mr"" and ""Mrs"" and a tendency to say things like ""Gryffindor are the best House"" instead of ""Gryffindor is the best house.""  Again, I'd rather see the author's own choices and culture even when it feels wrong to an American, but it's a personal choice.
","Reviewed in the United States on January 21, 2016","Very nice, occasionally odd, UK edition",4,,38
R2ZCVNOQ5YZJUV,KAB,"
  This version acts as one large book, rather than seven separate books.  So when you are reading it is not pages left in the book you are on, it is pages till the end of the deathly hollows.Also, it never shows the name of the book you are on, it shows as the collection
","Reviewed in the United States on May 21, 2019","Love the books, hate this digital version",3,,1
R24QBYBJ91UCGN,Hawaii Living,"
  I remember buying the first Harry Potter book at an airport when my plane was delayed. It had just been published and I was curious. I got hooked and was in line to pick each successive book up at the store as they were released. Fast forward to a couple of months ago, I thought it would be fun to re-read. I saw many providers offering the books, but they seemed (especially the price) quite shady. After researching a little, I got this one.This book is a great way to read straight through all the books in order. I ended up carrying my Kindle around even more than normal, reading every chance I could. From Privot Drive to the final dual outside Hogwarts...it's a great ride!
","Reviewed in the United States on May 9, 2019",The Real Deal,5,,0
